user_id,install_date,event_date,country,device,ab_group,acquisition_channel,session_length,revenue
0,2026-01-07,2026-01-09,FI,iOS,B,Ads,6,0
1,2026-01-20,2026-01-20,FI,Android,A,Referral,34,5
1,2026-01-20,2026-01-21,FI,Android,A,Referral,25,5
2,2026-01-29,2026-01-29,FI,Android,B,Ads,21,0
3,2026-01-15,2026-01-15,IN,Android,B,Referral,34,0
3,2026-01-15,2026-01-21,IN,Android,B,Referral,36,10
5,2026-01-08,2026-01-09,US,iOS,B,Ads,16,0
5,2026-01-08,2026-01-11,US,iOS,B,Ads,55,0
5,2026-01-08,2026-01-14,US,iOS,B,Ads,33,5
6,2026-01-29,2026-01-29,US,iOS,B,Organic,42,0
6,2026-01-29,2026-01-31,US,iOS,B,Organic,12,0
6,2026-01-29,2026-02-01,US,iOS,B,Organic,55,5
6,2026-01-29,2026-02-02,US,iOS,B,Organic,25,5
6,2026-01-29,2026-02-03,US,iOS,B,Organic,44,5
7,2026-01-21,2026-01-21,IN,Android,A,Organic,21,0
7,2026-01-21,2026-01-23,IN,Android,A,Organic,6,0
7,2026-01-21,2026-01-27,IN,Android,A,Organic,47,10
8,2026-01-07,2026-01-09,US,Android,B,Ads,50,0
8,2026-01-07,2026-01-10,US,Android,B,Ads,39,0
9,2026-01-26,2026-01-26,IN,iOS,B,Referral,52,15
11,2026-01-23,2026-01-25,DE,Android,B,Ads,31,0
11,2026-01-23,2026-01-26,DE,Android,B,Ads,16,5
11,2026-01-23,2026-01-29,DE,Android,B,Ads,58,0
13,2026-01-11,2026-01-11,US,iOS,B,Influencer,16,0
14,2026-01-24,2026-01-24,FI,Android,A,Ads,51,0
14,2026-01-24,2026-01-28,FI,Android,A,Ads,52,0
15,2026-01-21,2026-01-21,DE,Android,A,Referral,34,10
15,2026-01-21,2026-01-22,DE,Android,A,Referral,29,15
15,2026-01-21,2026-01-24,DE,Android,A,Referral,37,15
15,2026-01-21,2026-01-25,DE,Android,A,Referral,19,5
15,2026-01-21,2026-01-26,DE,Android,A,Referral,56,10
16,2026-01-04,2026-01-04,IN,iOS,B,Ads,9,0
16,2026-01-04,2026-01-05,IN,iOS,B,Ads,48,2
16,2026-01-04,2026-01-07,IN,iOS,B,Ads,39,0
16,2026-01-04,2026-01-11,IN,iOS,B,Ads,15,5
17,2026-01-08,2026-01-08,DE,iOS,B,Referral,49,5
17,2026-01-08,2026-01-09,DE,iOS,B,Referral,13,10
17,2026-01-08,2026-01-10,DE,iOS,B,Referral,5,15
17,2026-01-08,2026-01-11,DE,iOS,B,Referral,34,10
17,2026-01-08,2026-01-12,DE,iOS,B,Referral,16,10
18,2026-01-24,2026-01-24,FI,Android,B,Referral,58,15
18,2026-01-24,2026-01-26,FI,Android,B,Referral,35,5
18,2026-01-24,2026-01-27,FI,Android,B,Referral,51,5
18,2026-01-24,2026-01-28,FI,Android,B,Referral,56,0
18,2026-01-24,2026-01-30,FI,Android,B,Referral,44,0
18,2026-01-24,2026-01-31,FI,Android,B,Referral,5,0
19,2026-01-03,2026-01-05,FI,Android,A,Ads,39,5
19,2026-01-03,2026-01-07,FI,Android,A,Ads,21,0
21,2026-01-21,2026-01-21,IN,iOS,A,Referral,18,10
